News Agency,Tweets Ago,Date,Compound,Positive,Negative,Neutral,Tweet
@BBC,29,Tue Jul 24 12:03:04 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 29: 👨‍🎤🍞 The first known studio recording of David Bowie is set for auction after being found in an old bread basket.
👉… https://t.co/5R2Pmr8gBf"
@BBC,30,Tue Jul 24 11:01:00 +0000 2018,-0.0191,0.0,0.918,0.082,"Tweet 30: 'Doesn't matter what's written on the packet, wet wipes do not disintegrate.' https://t.co/sFUvFL8OaL"
@BBC,31,Tue Jul 24 09:53:15 +0000 2018,-0.5983,0.0,0.844,0.156,Tweet 31: RT @bbcworldservice: *Calling all Star Wars fans!* This is a VR experience where you star in the storyline. Hear more about Lucasfilm's VR…
@BBC,32,Tue Jul 24 08:00:10 +0000 2018,0.5719,0.425,0.575,0.0,Tweet 32: The perfect picnic doesn't exi... https://t.co/hCE7MqzF2P
@BBC,33,Tue Jul 24 07:27:04 +0000 2018,0.0,0.0,1.0,0.0,Tweet 33: 👶👵 Most people feel younger or older than they really are – and this 'subjective age' has a big effect on their phy… https://t.co/vGnFI1TfmB
@BBC,34,Tue Jul 24 07:00:18 +0000 2018,0.0,0.0,1.0,0.0,Tweet 34: Meet the man who escaped locked-in syndrome and is about to become a dad. https://t.co/x0Bkz8R176
@BBC,35,Mon Jul 23 20:03:06 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 35: Film-maker Mo Naqvi attempts to decide who to vote for in Pakistan's upcoming election.

Storyville: Insha'Allah De… https://t.co/u7nu633Gt2"
@BBC,36,Mon Jul 23 18:02:06 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 36: 💈❤️ Meet the barber tackling mental health one beard trim at a time.
(via @BBCThree) https://t.co/sTbcQnZ2ck"
@BBC,37,Mon Jul 23 17:31:04 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 37: Follow the transportation of a herd of elephants from the Midlands to their new seaside home. 🐘

Elephants on the M… https://t.co/nvfAlmyl21"
@BBC,38,Mon Jul 23 16:03:04 +0000 2018,0.4939,0.314,0.686,0.0,Tweet 38: 🐶 Hearing dogs can save a life. https://t.co/bTcvuvGYJt
@BBC,39,Mon Jul 23 15:31:24 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 39: RT @cbbc: Andy Samberg &amp; @selenagomez talk all things @HotelT 🕸️👻🌴
For the full interview download the #CBBCBuzz app now! https://t.co/83Vu…"
@BBC,40,Mon Jul 23 13:02:00 +0000 2018,0.0,0.111,0.779,0.111,"Tweet 40: If you're blind or partially sighted, this might help.
 
At the BBC, we offer audio description to describe our sho… https://t.co/jDXcSK72uQ"
@BBC,41,Mon Jul 23 12:02:03 +0000 2018,0.6369,0.296,0.704,0.0,"Tweet 41: Y'alright love? 🐦 

Meet Mourdour, the raven with a Yorkshire accent.... 

https://t.co/6K9eMeDh0k"
@BBC,42,Mon Jul 23 11:37:06 +0000 2018,0.5719,0.27,0.73,0.0,Tweet 42: RT @bbccomedy: The wonderful Victoria Wood talking sex. ❤️ https://t.co/uKdwA5f3T0
@BBC,43,Mon Jul 23 11:36:58 +0000 2018,-0.5267,0.0,0.746,0.254,Tweet 43: RT @bbccomedy: When it's not just work you're frustrated with... https://t.co/Qlv5gMgkGD
@BBC,44,Mon Jul 23 11:03:09 +0000 2018,-0.38,0.177,0.549,0.274,Tweet 44: When is a film so bad it's actually good? 🍿🤦‍♀️ https://t.co/zNWeEnZVQd https://t.co/F3rLExxpyR
@BBC,45,Mon Jul 23 08:12:20 +0000 2018,-0.6757,0.0,0.753,0.247,"Tweet 45: RT @bbcgetinspired: He came within minutes of losing his life in a horrific accident - but eight years on, he is about to represent Norther…"
@BBC,46,Mon Jul 23 08:03:02 +0000 2018,0.4767,0.114,0.886,0.0,"Tweet 46: Ntando Mahlangu walked for the first time at the age of ten. 

By the time he was 14, he had a silver medal from Ri… https://t.co/JodVvKpqUw"
@BBC,47,Mon Jul 23 07:32:03 +0000 2018,-0.5267,0.0,0.866,0.134,"Tweet 47: The UK government says air pollution is the fourth biggest threat to public health. 🤧💨

Here's what you can do to i… https://t.co/SVbU4D7961"
@BBC,48,Mon Jul 23 07:03:07 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 48: ✈️🎒 This is what happens to your suitcase after you've checked-in at an airport... 

https://t.co/SZZKKm6ONf"
@BBC,49,Sun Jul 22 19:02:05 +0000 2018,0.5994,0.245,0.755,0.0,Tweet 49: ❤️ The catwalk show with a mission to prove everyone is beautiful. https://t.co/sGAR4YzNZT
@BBC,50,Sun Jul 22 18:05:05 +0000 2018,0.128,0.073,0.927,0.0,"Tweet 50: See some art
Dwell on your wrongs
Talk to strangers

Tackle the week ahead with a spot of elastic thinking. https://t.co/W3gtqBFnss"
@BBC,51,Sun Jul 22 18:02:04 +0000 2018,0.6114,0.154,0.846,0.0,"Tweet 51: RT @bbcmusic: Happy Birthday @SelenaGomez! 🎂🎉

Which is your favourite SG single? (We are going old school Selena and vote 'Naturally' 💫) h…"
@BBC,52,Sun Jul 22 17:06:28 +0000 2018,0.6369,0.271,0.729,0.0,Tweet 52: RT @BBCCountryfile: What's your top tip for enjoying our countryside? Here's @EllieHarrison_ @AdamHenson @tomheapmedia and @SteveBrownGBWR…
@BBC,53,Sun Jul 22 16:45:18 +0000 2018,0.0,0.0,1.0,0.0,Tweet 53: RT @BBCNews: London Anniversary Games: Kare Adenegan &amp; Sophie Hahn set world records https://t.co/DW7CyMwS7r
@BBC,54,Sun Jul 22 16:04:04 +0000 2018,-0.8402,0.0,0.724,0.276,"Tweet 54: ❤️ The mother of a five-year-old boy who helped write his own obituary before he died of cancer says she is ""humble… https://t.co/k1R3Tq8KX5"
@BBC,55,Sun Jul 22 15:04:05 +0000 2018,-0.2732,0.0,0.909,0.091,"Tweet 55: Keeping it low key 😉

This man asked his partner to marry him with a GIANT beach mural. 🏖 
https://t.co/FrqoNA4HhG"
@BBC,56,Sun Jul 22 14:08:06 +0000 2018,0.7264,0.243,0.757,0.0,"Tweet 56: 😲🎨 Some of the most stunning photos from the 21st World Bodypainting Festival in Austria.
👉 https://t.co/2Z8On4ZuS3 https://t.co/YoAPvfk5cE"
@BBC,57,Sun Jul 22 13:06:02 +0000 2018,0.0,0.0,1.0,0.0,Tweet 57: 🐜🍞 Would you eat bread baked with insects instead of flour? https://t.co/zXYGP4MZjk
@BBC,58,Sun Jul 22 12:09:04 +0000 2018,0.7506,0.314,0.686,0.0,"Tweet 58: Positive reinforcement and indirect suggestions are a powerful way to influence our decision-making.

Here are eigh… https://t.co/CyoIKBRDfs"
@BBC,59,Sun Jul 22 11:02:05 +0000 2018,0.5994,0.353,0.647,0.0,"Tweet 59: The teenage activist helping families find low-cost healthy food. 
(via@BBCThree) https://t.co/aM3Esv544f"
@BBC,60,Sun Jul 22 10:04:05 +0000 2018,0.7506,0.274,0.726,0.0,Tweet 60: 💕✍️ A story penned by a 10-year-old girl with autism has attracted praise from academics and others with the condit… https://t.co/oFp5UI36Ex
@BBC,61,Sun Jul 22 08:19:58 +0000 2018,0.34,0.138,0.862,0.0,Tweet 61: RT @BBCNewsbeat: Say hello to @NicoleAMaines who will play TV's first ever transgender superhero. https://t.co/QIIPLjRZBo https://t.co/FhUr…
@BBC,62,Sun Jul 22 08:03:01 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 62: 🍞 Prehistoric bake-off: Scientists have discovered the earliest known evidence of bread-making, from a 14,000-year-… https://t.co/rt2YVZY1zW"
@BBC,63,Sun Jul 22 07:03:00 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 63: Do you have a reusable water bottle?
#PlasticsAction https://t.co/XTlzV0IEGB"
@BBC,64,Sat Jul 21 20:21:08 +0000 2018,0.6369,0.321,0.679,0.0,"Tweet 64: 🎬🍿 A business trip leads to a chance encounter...

Pretty Woman | 10:20pm | @BBCOne | https://t.co/vCrrzh7bN7 https://t.co/KS0CZCwcDx"
